AreaName,PostalStreetName,Location,UnitNumber,ComponentDescription,ColumnName,Network,Northing,Easting
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,28,180W SOX,Octagonal,UnderGround,234765.784,304287.27
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Slip Lane,29,180W SOX,Octagonal,UnderGround,234716.539,304281.826
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,30,180W SOX,Octagonal,UnderGround,234746.132,304260.52
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Slip Lane,31,180W SOX,Octagonal,UnderGround,234695.946,304252.478
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,32,180W SOX,Octagonal,UnderGround,234727.2,304232.591
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Esker,33,180W SOX,Octagonal,UnderGround,234677.244,304223.362
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,34,180W SOX,Octagonal,UnderGround,234708.018,304203.475
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Island,35,180W SOX,Octagonal,UnderGround,234655.942,304187.613
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,36,180W SOX,Octagonal,UnderGround,234690.976,304174.597
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,37,180W SOX,Octagonal,UnderGround,234640.79,304161.334
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,38,180W SOX,Octagonal,UnderGround,234674.174,304145.241
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Bus Stop,39,180W SOX,Octagonal,UnderGround,234626.349,304132.696
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,40,180W SOX,Octagonal,UnderGround,234658.542,304115.646
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,41,180W SOX,Octagonal,UnderGround,234610.967,304100.973
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,42,180W SOX,Octagonal,UnderGround,234642.92,304086.06
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,43,180W SOX,Octagonal,UnderGround,234595.345,304069.249
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,44,180W SOX,Octagonal,UnderGround,234628.249,304053.627
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,45,180W SOX,Octagonal,UnderGround,234581.614,304037.534
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,46,180W SOX,Octagonal,UnderGround,234614.757,304023.092
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,47,180W SOX,Octagonal,UnderGround,234569.062,304005.333
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,48,180W SOX,Octagonal,UnderGround,234603.166,303990.923
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,49,180W SOX,Octagonal,UnderGround,234557.071,303972.348
LUCAN HEIGHTS,N4 Foxhunter-Newcastle Road,Main Road,50,180W SOX,Octagonal,UnderGround,234591.465,303960.305
